text,intent,language
طبيب المفاصل.,demande_consultation,arabe
Voir le chirurgien.,demande_consultation,francais
"Heart attack, send medics!",demande_urgence,english
tbib d nboula,demande_consultation,arabizi
القلب كيضرب بالزربة.,description_symptome,arabe
Urgences les plus proches ?,demande_urgence,francais
عييت ولحمي مدكدك.,description_symptome,arabe
Plaques rouges sur la peau.,description_symptome,francais
Bad headache for days.,description_symptome,english
Directions for use?,demande_posologie,english
tbib d lklawi,demande_consultation,arabizi
واش هادشي داخل في التغطية؟,remboursement_mutuelle,arabe
Cuillères à soupe ou à café ?,demande_posologie,francais
Amygdales gonflées.,description_symptome,francais
طبع ليا ورقة الدوا عافاك.,remboursement_mutuelle,arabe
خصني كونطرول عند الجينيكو.,demande_consultation,arabe
I want some magnesium.,demande_medicament,en
وحلات ليه ماكلة تخنق!,demande_urgence,arabe
طنين في الودن.,description_symptome,arabe
Couverture CNOPS ?,remboursement_mutuelle,francais
Cuillères de sirop jour ?,demande_posologie,francais
tbiba d nsa 3afak,demande_consultation,arabizi
rdv dermato,demande_consultation,arabizi
Bilan sanguin prix ?,demande_prix,francais
"Inconscient, appelez les pompiers !",demande_urgence,francais
wach dentiste msali gheda,demande_consultation,arabizi
Prise en charge AMO ?,remboursement_mutuelle,francais
denia kaddour bia,description_symptome,arabizi
"Vite, une ambulance !",demande_urgence,francais
wach me9boul f la mutuelle?,remboursement_mutuelle,arabizi
بيبي مريض.,demande_consultation,arabe
Physical therapy rate?,demande_prix,english
Préparation pour nourrisson prix ?,demande_prix,francais
راديو بشحال كديروه؟,demande_prix,arabe
أحتاج إلى قطرات للعين.,demande_medicament,ar
Critical condition!,demande_urgence,english
khssni chi 7aja l wje3 les regles,demande_medicament,arabizi
عطيني دوفي ديال الفيزيتا.,demande_prix,arabe
Life-threatening situation!,demande_urgence,english
بغيت بومادا ديال الحريق.,demande_medicament,darija_ar
"Huge car crash, help!",demande_urgence,english
شحال من كينة د المص؟,demande_posologie,arabe
wa7lat lih makla tkhne9!,demande_urgence,arabizi
Give me an estimate for the visit.,demande_prix,english
Démarche mutuelle ?,remboursement_mutuelle,francais
Voir mon médecin traitant.,demande_consultation,francais
الدم خارج بزاف من الجرحة.,demande_urgence,arabe
7issa 3nd psy,demande_consultation,arabizi
dose lyoumiya?,demande_posologie,arabizi
bghit sirop l drari sghar,demande_medicament,arabizi
Crampes d'estomac.,description_symptome,francais
Belly ache.,description_symptome,english
RAMED refund?,remboursement_mutuelle,english
C'est remboursé ?,remboursement_mutuelle,francais
Can I get some throat lozenges?,demande_medicament,en
أحتاج شيئًا لصداع الرأس.,demande_medicament,ar
"Il saigne beaucoup, urgence !",demande_urgence,francais
عطيني كينة ديال المعدة.,demande_medicament,darija_ar
شحال الراديو؟,demande_prix,arabe
Where's the nearest trauma center?,demande_urgence,english
7ala khatira!,demande_urgence,arabizi
الكحبة قجتني.,description_symptome,arabe
"Snapped leg, need transport!",demande_urgence,english
Quel prix pour ça ?,demande_prix,francais
التغطية الصحية كترد عليه؟,remboursement_mutuelle,arabe
Mode d'emploi crème ?,demande_posologie,francais
Il me faut quelque chose pour le mal des transports.,demande_medicament,fr
fa7s lmasalik lbawliya,demande_consultation,arabizi
wach kayrje3ou 3lih flous?,remboursement_mutuelle,arabizi
carte d dwa me9boula?,remboursement_mutuelle,arabizi
Cachets tarif ?,demande_prix,francais
Facture IRM ?,demande_prix,francais
Cracked skull emergency.,demande_urgence,english
Can you give me some antacids?,demande_medicament,en
Neuro doctor tomorrow.,demande_consultation,english
Charge for an X-ray?,demande_prix,english
قاد ليا وريقات لاميتيال.,remboursement_mutuelle,arabe
Where is the nearest hospital for accidents?,demande_urgence,english
قبل ولا مورا الماكلة؟,demande_posologie,arabe
l3dam kayderrou,description_symptome,arabizi
ch7al lmaximum f nhar?,demande_posologie,arabizi
Médicament toux prix ?,demande_prix,francais
tbib d choufa,demande_consultation,arabizi
Room is spinning.,description_symptome,english
Gros accident de la route !,demande_urgence,francais
3tini chi 7aja l wje3 ras,demande_medicament,arabizi
Démangeaisons.,description_symptome,francais
Nauseous and puking.,description_symptome,english
Avez-vous quelque chose pour le mal de gorge ?,demande_medicament,fr
wach momkin nakhd rendez-vous m3a tbib d l9alb,demande_consultation,arabizi
Do you have blood pressure pills?,demande_medicament,en
Swallowed poison!,demande_urgence,english
صيفطو مسعف دابا.,demande_urgence,arabe
ch7al nkhlles 3la had dwa?,demande_prix,arabizi
تهرس، جيبو الاسعاف!,demande_urgence,arabe
Tour de reins.,description_symptome,francais
creme bch7al?,demande_prix,arabizi
Cough medicine cost?,demande_prix,english
تحاليل المختبر بشحال؟,demande_prix,arabe
Syrup price?,demande_prix,english
Having a seizure!,demande_urgence,english
I want to buy paracetamol.,demande_medicament,en
معلومات على لاميتيال؟,remboursement_mutuelle,arabe
Syrup spoons per day?,demande_posologie,english
"Head trauma, call for help!",demande_urgence,english
Blood test cost?,demande_prix,english
السخانة طالعة عليا.,description_symptome,arabe
bghit ndwz 3nd tbib,demande_consultation,arabizi
Bilan neurologique.,demande_consultation,francais
ghobra kifax nkhelt'ha?,demande_posologie,arabizi
Déclaration assurance ?,remboursement_mutuelle,francais
CNSS reimbursement?,remboursement_mutuelle,english
Do you have sleeping pills?,demande_medicament,en
أحتاج إلى مضادات حيوية.,demande_medicament,ar
tariqat listi3mal?,demande_posologie,arabizi
Urgence plaie.,demande_urgence,francais
تضرب للراس، عتقو!,demande_urgence,arabe
Caisse de maladie rembourse ?,remboursement_mutuelle,francais
Carte vitale acceptée ?,remboursement_mutuelle,francais
شحال من كبسولة؟,demande_posologie,arabe
charika d l'assurance katrejje3?,remboursement_mutuelle,arabizi
عطيني شي حاجة لحرقة المعدة.,demande_medicament,darija_ar
الدوزاج د الصغار؟,demande_posologie,arabe
3tini devis d lvisita,demande_prix,arabizi
mafasili kay7re9ouni,description_symptome,arabizi
Gélules posologie ?,demande_posologie,francais
السنان كيحرقو.,description_symptome,arabe
Détails remboursement ?,remboursement_mutuelle,francais
Contrat couvre ça ?,remboursement_mutuelle,francais
Pouvez-vous me donner des antiacides ?,demande_medicament,fr
واش كاين شي دوا للحلاقم؟,demande_medicament,darija_ar
Séjour hôpital tarif ?,demande_prix,francais
"Lunettes, besoin ophtalmo.",demande_consultation,francais
هل يمكنك إعطائي دواء للأنفلونزا؟,demande_medicament,ar
واش عندكم فنيد ديال النعاس؟,demande_medicament,darija_ar
Back spasms.,description_symptome,english
I need an ointment for burns.,demande_medicament,en
واش كاين بيطادين؟,demande_medicament,darija_ar
bghit chi fanid d n3as,demande_medicament,arabizi
ضرستي غتقتلني.,description_symptome,arabe
خاصني دوا ديال الردان.,demande_medicament,darija_ar
Can I get some stomach ache pills?,demande_medicament,en
3tini dwa d lma3da,demande_medicament,arabizi
jatou crise d sra3!,demande_urgence,arabizi
كرشي كتقطع بالوجع.,description_symptome,arabe
Rendez-vous docteur aujourd'hui.,demande_consultation,francais
CNOPS document stamp?,remboursement_mutuelle,english
Public insurance cover?,remboursement_mutuelle,english
Scanner tarif ?,demande_prix,francais
How often should I take this?,demande_posologie,english
dossier assurance d lkhedma?,remboursement_mutuelle,arabizi
kerchi kat9te3 b lwje3,description_symptome,arabizi
Feuille de maladie ?,remboursement_mutuelle,francais
واش كتقبلو لاميتيال؟,remboursement_mutuelle,arabe
Fréquence de prise ?,demande_posologie,francais
الحلاقم منفوخين.,description_symptome,arabe
طبيب العظام كاين؟,demande_consultation,arabe
istichara d l3sab,demande_consultation,arabizi
Aide médicale urgente.,demande_urgence,francais
Do you have antiseptic cream?,demande_medicament,en
هل لديك حبوب منومة؟,demande_medicament,ar
Insurance coverage for this?,remboursement_mutuelle,english
Reimbursement details?,remboursement_mutuelle,english
9ra lia lwer9a d dwa,demande_posologie,arabizi
Gel application rules?,demande_posologie,english
CNSS paperwork?,remboursement_mutuelle,english
فيا السهال.,description_symptome,arabe
Mal au bide.,description_symptome,francais
دفع ملف التغطية الصحية؟,remboursement_mutuelle,arabe
Cream usage instructions?,demande_posologie,english
Before or after meals?,demande_posologie,english
Tiers payant possible ?,remboursement_mutuelle,francais
7issa d kine bch7al?,demande_prix,arabizi
موعد مع ديال العظام.,demande_consultation,arabe
wach 3ndk kinat d l7aml?,demande_medicament,arabizi
Spine hurts.,description_symptome,english
Quantité de crème à mettre ?,demande_posologie,francais
sirop lk7ba ch7al?,demande_prix,arabizi
rdv m3a d l3dam,demande_consultation,arabizi
wdni kat3ti sda3,description_symptome,arabizi
7ri9 lma3da,description_symptome,arabizi
Nuit d'hôpital prix ?,demande_prix,francais
Mutuelle eligible?,remboursement_mutuelle,english
tbib nefsani,demande_consultation,arabizi
أريد بعض المغنيسيوم.,demande_medicament,ar
Insert instructions?,demande_posologie,english
Remboursement CNSS ?,remboursement_mutuelle,francais
tna9ya d snan bch7al?,demande_prix,arabizi
How to administer these drops?,demande_posologie,english
C'est une urgence grave !,demande_urgence,francais
gel kifax ndirou?,demande_posologie,arabizi
Tooth hurts so bad.,description_symptome,english
Stamp my papers please.,remboursement_mutuelle,english
dose d pomada ch7al?,demande_posologie,arabizi
قيدني عند الطبيب.,demande_consultation,arabe
Appelez le SAMU !,demande_urgence,francais
CNSS sheet stamp?,remboursement_mutuelle,english
Imagerie médicale coût ?,demande_prix,francais
ksida khayba 3t9ou!,demande_urgence,arabizi
حساسية خايبة طاح!,demande_urgence,arabe
الجرعة اليومية؟,demande_posologie,arabe
كيفاش ندير القويلبات؟,demande_posologie,arabe
Rdv spécialiste os.,demande_consultation,francais
شحال من حبة نشرب في النهار؟,demande_posologie,arabe
bghit rdv m3a tbib d l3sab,demande_consultation,arabizi
thers jibou l is3af!,demande_urgence,arabizi
طبيب الشوفة.,demande_consultation,arabe
طبيب الراس.,demande_consultation,arabe
Antibiotics price?,demande_prix,english
Toux qui ne passe pas.,description_symptome,francais
Je cherche un sirop pour bébé.,demande_medicament,fr
RAMED coverage?,remboursement_mutuelle,english
Cardiologist next week?,demande_consultation,english
بغيت شي حاجة لراس.,demande_medicament,darija_ar
كنقلب على دوا ديال السكر.,demande_medicament,darija_ar
واش كاين شي سيرو للحريق ديال الدراري؟,demande_medicament,darija_ar
ازمة تنفس، طاح.,demande_urgence,arabe
Loose stools.,description_symptome,english
Où est le CHU ?,demande_urgence,francais
des infos 3la la mutuelle?,remboursement_mutuelle,arabizi
اللثة منفوخة.,description_symptome,arabe
Surgery pricing?,demande_prix,english
ramed dayz?,remboursement_mutuelle,arabizi
Fréquence inhalateur ?,demande_posologie,francais
Une estimation du coût ?,demande_prix,francais
l7arara mertaf3a,description_symptome,arabizi
ma9ditch nsret,description_symptome,arabizi
ثمن التلفازة؟,demande_prix,arabe
جيبو طبيب بالزربة.,demande_urgence,arabe
Pouvez-vous me donner quelque chose contre la diarrhée ?,demande_medicament,fr
شحال التحليلة د الدم؟,demande_prix,arabe
بغيت ندوز على ودني.,demande_consultation,arabe
sbitar d jra7?,demande_urgence,arabizi
نزيف مجهد، ديوه للسبيطار!,demande_urgence,arabe
واش لاميتيال كتقبلو؟,remboursement_mutuelle,arabe
بغيت دوا ديال الحكة.,demande_medicament,darija_ar
طبيب القلب السيمانة الجاية.,demande_consultation,arabe
Orthopedist visit this week.,demande_consultation,english
centre d tasmoum 3ajil,demande_urgence,arabizi
skhana tal3a 3liya,description_symptome,arabizi
Hives all over.,description_symptome,english
Emergency room for cuts?,demande_urgence,english
7lib rda3a bch7al?,demande_prix,arabizi
"Broken bones, ambulance!",demande_urgence,english
7issas tarwid ch7al?,demande_prix,arabizi
"Oreille bouchée, ORL.",demande_consultation,francais
ظهري كيعطيني الحريق.,description_symptome,arabe
شحال نخلص على هاد الدوا؟,demande_prix,arabe
الشركة د التأمين كترد؟,remboursement_mutuelle,arabe
9ad lia wri9at la mutuelle,remboursement_mutuelle,arabizi
Crise d'épilepsie en cours !,demande_urgence,francais
Neuro dispo quand ?,demande_consultation,francais
هل يمكنني الحصول على كريم للطفح الجلدي؟,demande_medicament,ar
حصة الترويض بشحال؟,demande_prix,arabe
السيرو بشحال؟,demande_prix,arabe
Bilan dermato.,demande_consultation,francais
bghit tbib d l7la9m,demande_consultation,arabizi
تحرق بزاف، فين نمشيو؟,demande_urgence,arabe
"Trauma crânien, urgences !",demande_urgence,francais
Docteur appareil urinaire.,demande_consultation,francais
حصة عند طبيب نفسي.,demande_consultation,arabe
Secours immédiats.,demande_urgence,francais
"Please send an ambulance, it's urgent!",demande_urgence,english
How much cream to apply?,demande_posologie,english
fanid ch7al dayr?,demande_prix,arabizi
Douleur dentaire.,description_symptome,francais
bghit ndwz 3la wdni,demande_consultation,arabizi
ch7al t7lila d dem?,demande_prix,arabizi
Rdv psy.,demande_consultation,francais
Avez-vous des inhalateurs pour l'asthme ?,demande_medicament,fr
wach 3ndkom smecta?,demande_medicament,arabizi
هل لديك أي شيء لالتهاب الحلق؟,demande_medicament,ar
chre7 lia dosage,demande_posologie,arabizi
Tablet count daily?,demande_posologie,english
k7ba nachfa mabghatch tfout,description_symptome,arabizi
With food or empty stomach?,demande_posologie,english
