text,intent,language
"عطيني شي باقية د دوليبران",demande_medicament,arabe
"بغيت شي سيرو د الكحبة يكون مزيان",demande_medicament,arabe
"واش عندك اوكمونتان ديال الغرام",demande_medicament,arabe
"خصني شي بومادا د الحريق",demande_medicament,arabe
"عطيني تقطيرة د العينين الحمراء",demande_medicament,arabe
"بغيت دوا د المعدة لي كيمصوه",demande_medicament,arabe
"واش كاين شي فانيد د الراس مجهد",demande_medicament,arabe
"خصني شي انتيبيوتيك ديال الحلاقم",demande_medicament,arabe
"عطيني كينة د منع الحمل ميكرديول",demande_medicament,arabe
"بغيت شي فيتامين د العيا والسخفة",demande_medicament,arabe
"واش عندكم سميكطا ديال السهال",demande_medicament,arabe
"عطيني شي قويلبات ديال السخانة للدراري",demande_medicament,arabe
"بغيت رشاشة ديال النيف مسدود",demande_medicament,arabe
"خصني بومادا ديال سيكاتريس",demande_medicament,arabe
"عطيني شي فانيد ديال الحساسية مكيجيبش النعاس",demande_medicament,arabe
"واش كاين الدوا ديال الطونسيون املور",demande_medicament,arabe
"بغيت لانسولين ديال السكر الخضرا",demande_medicament,arabe
"عطيني شي سيرو يفتح الشهية لولدي",demande_medicament,arabe
"خصني سبادرم للظهر",demande_medicament,arabe
"واش نقدر ناخد اسبيرين بلا ورقة",demande_medicament,arabe
"بغيت شي بومادا د الشمش للبشرة الجافة",demande_medicament,arabe
"عطيني الكالسيوم مع فيتامين د",demande_medicament,arabe
"خصني دوا ديال الدود للدراري الصغار",demande_medicament,arabe
"بغيت باندبوش ديال اللثة لي كتسيل بالدم",demande_medicament,arabe
"واش كاين داك الساشي ديال حريق البولة",demande_medicament,arabe
"عطيني بيتادين و فاصمة معقمة",demande_medicament,arabe
"بغيت شي بومادا ديال الكزيمة",demande_medicament,arabe
"خصني فانيد ديال المفاصل والروماتيزم",demande_medicament,arabe
"عطيني الحديد لي ميكديرش القبط",demande_medicament,arabe
"بغيت شي تقطيرة د الودنين ديال الصداع",demande_medicament,arabe
"واش عندكم دوا الرواح لي فيه فيتامين سي",demande_medicament,arabe
"عطيني كينة ديال الدوخة د السفر",demande_medicament,arabe
"بغيت سيروم ديال الما والملحة للرضيع",demande_medicament,arabe
"خصني شي جيل ديال الحبوب د الشباب",demande_medicament,arabe
"عطيني البراوات ديال فيتامين ب",demande_medicament,arabe
"واش كاين شي دوا كيهدن الاعصاب ويجيب النعاس",demande_medicament,arabe
"بغيت شامبوان ديال القشرة الطبي",demande_medicament,arabe
"عطيني الدوا لي كيخرج لي كاز من الكرش",demande_medicament,arabe
"خصني الرابوز ديال الضيقة الزرق",demande_medicament,arabe
"بغيت شي مقوي المناعة طبيعي",demande_medicament,arabe
"واش عندكم سيرو د السخانة بنكهة الفريز",demande_medicament,arabe
"عطيني شي بومادا د البواسير عافاك",demande_medicament,arabe
"خصني كينة ديال الشقيقة لي كتدوب في الما",demande_medicament,arabe
"بغيت جيل معقم لليدين",demande_medicament,arabe
"عطيني دوا ديال الكوليسترول لي كتب ليا الطبيب",demande_medicament,arabe
"واش كاين شي فانيد كيحبس الدم د لي غيغل",demande_medicament,arabe
"بغيت حليب ديال الفرمسيان رقم واحد",demande_medicament,arabe
"عطيني المعجون ديال السنان الحساسة",demande_medicament,arabe
"خصني شي حاجة كتحبس الردان دغيا",demande_medicament,arabe
"بغيت بومادا ديال الفطريات د الرجلين",demande_medicament,arabe
"ضارني راسي بزاف هاد الصباح",description_symptome,arabe
"فيا السخانة والتبوريشة من البارح",description_symptome,arabe
"كرشي كتقطع عليا بالوجع",description_symptome,arabe
"كيجيني الردان مورا الماكلة",description_symptome,arabe
"حلقي مجروح وكنكحب بزاف",description_symptome,arabe
"نيفي مسدود ومكنقدرش نتنفس مزيان",description_symptome,arabe
"عيني حمرين وكياكلوني",description_symptome,arabe
"فيا الدوخة وكنحس براسي غنسخف",description_symptome,arabe
"مفاصلي كيحرقوني ومقديتش نوقف",description_symptome,arabe
"صدري مزير عليا وكنتنهج",description_symptome,arabe
"عندي شي حبوب خرج ليا في وجهي",description_symptome,arabe
"كنحس بالمعدة ديالي طايبة",description_symptome,arabe
"ضربني البرد وعضمي مدكدك",description_symptome,arabe
"كندخل للطواليط بزاف فيا السهال",description_symptome,arabe
"عندي القبط هادي تلت يام",description_symptome,arabe
"ودني كتعطيني الصداع بزاف",description_symptome,arabe
"سنينتي مسوسة وكتعطيني الحريق",description_symptome,arabe
"كنحس بالرعدة في يديا",description_symptome,arabe
"عندي حساسية وكنعطس بزاف",description_symptome,arabe
"ظهري ضارني مقديتش نتحنى",description_symptome,arabe
"كنبول بالدم وحريق البولة قهرني",description_symptome,arabe
"التربية فيها السخانة ومبغاتش ترضع",description_symptome,arabe
"طحت على ركبتي وتنفخات ليا",description_symptome,arabe
"كنحس بقلبي كيضرب بالزربة",description_symptome,arabe
"الماكلة مكتدوزش ليا وحلقي منفوخ",description_symptome,arabe
"شعري كيطيح ليا بزاف هاد ليامات",description_symptome,arabe
"رجليا كيتنفخو ليا بالوقوف",description_symptome,arabe
"عندي حكة خايبة في لحمي كامل",description_symptome,arabe
"صوتي مشا ليا مقديتش نهضر",description_symptome,arabe
"كنرد الصفر والمعدة مقلوبة عليا",description_symptome,arabe
"جاني واحد الكلاكاژ في فخدي",description_symptome,arabe
"عندي الطونسيون طالع وكنحس بالدوخة",description_symptome,arabe
"السكر طاح ليا وعرقت بزاف",description_symptome,arabe
"فيا الكحبة عامرة بالخنونة",description_symptome,arabe
"عيني كيدمعو بوحدهوم",description_symptome,arabe
"تحرقت في يدي بالما طايب",description_symptome,arabe
"عندي لي كاز وكرشي منفوخة",description_symptome,arabe
"ظفري تنصل ليا والدم كيسيل",description_symptome,arabe
"رعاف جاني من نيفي مبغاش يحبس",description_symptome,arabe
"كنحس بالفشلة ومقديتش نزيد دقة",description_symptome,arabe
"المسران ضارني وفيا الوجع لتحت",description_symptome,arabe
"ولدي جاتو الحصبة وعمرو حبوب",description_symptome,arabe
"عندي مشكل في النعاس مكيجينيش",description_symptome,arabe
"كنحس بشي حاجة واقفا ليا في القرجوطة",description_symptome,arabe
"يدين دياولي كيتنملو عليا",description_symptome,arabe
"الدم مكيحبسش من الجرحة",description_symptome,arabe
"عندي طنين في ودني مكيتقطعش",description_symptome,arabe
"وجهي صفار وكنحس بالعيا",description_symptome,arabe
"اللحم ديال سناني كيسيل بالدم",description_symptome,arabe
"ضرباتني الشمش وجاتني الدوخة والردان",description_symptome,arabe
"بغيت نشوف الطبيب دبا الا كان ممكن",demande_consultation,arabe
"واش ممكن ناخد رانديفو لغدا مع الجينيكو",demande_consultation,arabe
"ايمتى كيكون طبيب الجلد في الكابيني",demande_consultation,arabe
"خصني ندوز على السنان عافاك",demande_consultation,arabe
"بغيت موعد مع طبيب القلب والشرايين",demande_consultation,arabe
"واش الطبيب العام كاين العشية",demande_consultation,arabe
"شحال خاصني نتسنى باش ندخل عند الطبيب",demande_consultation,arabe
"بغيت نشد النوبة للوالدة عند طبيب العظام",demande_consultation,arabe
"واش كاين شي بلاصة خاوية اليوم ندوز فيها",demande_consultation,arabe
"خصني نشوف طبيب الاطفال ضروري ولدي مريض",demande_consultation,arabe
"امتى كيحل الطبيب في الصباح",demande_consultation,arabe
"بغيت ندوز كونترول واش ناخد موعد جديد",demande_consultation,arabe
"واش نقدر نجي بلا موعد عند طبيب المعدة",demande_consultation,arabe
"عافاك بغيت نبدل الوقت ديال الرانديفو ديالي",demande_consultation,arabe
"شكون الطبيب لي مناوب هاد الويكاند في الكلينيك",demande_consultation,arabe
"خصني نشوف طبيب العيون النظاظر تهرسو ليا",demande_consultation,arabe
"بغيت ناخد موعد في التليفون واش ممكن",demande_consultation,arabe
"واش الطبيبة د النسا كاينة اليوم ولا مسافرة",demande_consultation,arabe
"امتى اخر وقت كيشد فيه الطبيب المرضى",demande_consultation,arabe
"بغيت ندوز عند طبيب نفساني",demande_consultation,arabe
"خصني نشوف جراح ديال الزايدة في اقرب وقت",demande_consultation,arabe
"واش كاين طبيب الحنجرة والأنف والأذن",demande_consultation,arabe
"بغيت موعد مع طبيب السكر والغدة الدراقية",demande_consultation,arabe
"امتى كيرجع الطبيب من الكونجي ديالو",demande_consultation,arabe
"خصني ندوز على الكلاوي واش كاين سبيسياليست",demande_consultation,arabe
"بغيت نشوف طبيب ديال الحساسية والربو",demande_consultation,arabe
"واش ممكن نسجل سميتي في لا ليست د الانتظار",demande_consultation,arabe
"شكون طبيب الاعصاب لي مزيان فهاد السبيطار",demande_consultation,arabe
"بغيت نشد موعد لعملية جراحية صغيرة",demande_consultation,arabe
"واش الطبيب كيقبل الحالات المستعجلة بلا موعد",demande_consultation,arabe
"خصني نشوف طبيب د المسالك البولية",demande_consultation,arabe
"بغيت موعد مع كيني باش ندير الترويض",demande_consultation,arabe
"امتى كيبدا طبيب الرية الخدمة ديالو",demande_consultation,arabe
"واش كاين شي طبيب عام كيجي للدار",demande_consultation,arabe
"بغيت ندوز على راسي كيحرقني ديما",demande_consultation,arabe
"خصني موعد باش نحيد السنان د العقل",demande_consultation,arabe
"واش الطبيبة ديال الدراري الصغار كاينة السبت",demande_consultation,arabe
"بغيت نشوف طبيب التجميل والجلد",demande_consultation,arabe
"عافاك قيدني عند طبيب المفاصل في السيمانة الجاية",demande_consultation,arabe
"واش نقدر ندوز في الصباح بكري قبل الخدمة",demande_consultation,arabe
"خصني طبيب مختص في امراض الدم",demande_consultation,arabe
"بغيت موعد باش نركب لي باك لسناني",demande_consultation,arabe
"امتى كيكون الطبيب ديال التغدية والريجيم",demande_consultation,arabe
"واش كاين طبيب د الرياضة فهاد السونطر",demande_consultation,arabe
"بغيت نشوف طبيب على قبل تساقط الشعر",demande_consultation,arabe
"خصني ندوز عند طبيبة د الولادة باش نتبع الحمل",demande_consultation,arabe
"واش الطبيب كيدوز بالترتيب ولا بالموعد",demande_consultation,arabe
"بغيت ناخد موعد لراجلي عند طبيب القلب",demande_consultation,arabe
"امتى كيسالي الطبيب د السنان مع العشية",demande_consultation,arabe
"خصني نشوف طبيب د الكبدة والمرارة",demande_consultation,arabe
"عيطو للامبولانس دابا",demande_urgence,arabe
"خصنا سبيطار بالزربة",demande_urgence,arabe
"واقعة كسيدة عيطو للاسعاف",demande_urgence,arabe
"السيد سخف لينا هنا",demande_urgence,arabe
"ديه للمستعجلات راه كيموت",demande_urgence,arabe
