text,intent,language
"bghit wa7d boite dial paracetamol",demande_medicament,arabizi
"3tini chi aspro dial ras",demande_medicament,arabizi
"khasni chi sachet dial rwa7",demande_medicament,arabizi
"wach kain dak siro l7mer dial lk7ba",demande_medicament,arabizi
"bghit nakhod fanid dial wj3 lkrch",demande_medicament,arabizi
"3afak 3tini chi pomada dial cicatrice",demande_medicament,arabizi
"khasni 9wilbat dial skhana ldrari sghar",demande_medicament,arabizi
"wach 3ndkom vitamin c kidub fel ma",demande_medicament,arabizi
"bghit dwa dial l7asasiya 3afak",demande_medicament,arabizi
"3tini chi 9tra dial lwednin",demande_medicament,arabizi
"khasni njib had dwa dial skar",demande_medicament,arabizi
"wach 3ndk dak lfanid dial lmsran",demande_medicament,arabizi
"bghit chi siro idawb lk7ba",demande_medicament,arabizi
"3tini wa7d lpomada dial l7ri9 dial chms",demande_medicament,arabizi
"khasni chi comprimé ihden sda3",demande_medicament,arabizi
"wach momkin t3tini had dwa bla ordonnance",demande_medicament,arabizi
"bghit wa7d bakhakh dial nif",demande_medicament,arabizi
"3tini chi dwa dial do5a",demande_medicament,arabizi
"khasni fanid dial lma3da",demande_medicament,arabizi
"wach kayna chi pomada dial rkabi",demande_medicament,arabizi
"bghit nchri had l9wilbat",demande_medicament,arabizi
"3tini sachet dial lberd",demande_medicament,arabizi
"khasni dwa dial di9a",demande_medicament,arabizi
"wach 3ndkom chi gel dial snan ldrari",demande_medicament,arabizi
"bghit 9tra dial l3inin 7omer",demande_medicament,arabizi
"3tini chi comprimé dial n3as",demande_medicament,arabizi
"khasni kina dial la tension",demande_medicament,arabizi
"wach kain dak siro dial fat7 chahiya",demande_medicament,arabizi
"bghit chi pomada dial fitriyat",demande_medicament,arabizi
"3tini wa7d spira dial ras",demande_medicament,arabizi
"khasni kina dial l7mala",demande_medicament,arabizi
"wach 3ndk dwa dial lkolyztirol",demande_medicament,arabizi
"bghit chi siro dial l9abt",demande_medicament,arabizi
"3tini 9wilbat dial lbwasr",demande_medicament,arabizi
"khasni chi dwa dial l'allergie",demande_medicament,arabizi
"wach kayna lpomada dial l3in",demande_medicament,arabizi
"bghit fanid dial l7la9m",demande_medicament,arabizi
"3tini chi sachet dial l7or9a",demande_medicament,arabizi
"khasni nakhod had l'antibiotique",demande_medicament,arabizi
