text,intent,language
ddiha l clinique b zerba wlat katwled,demande_urgence,arabizi
had siro wach fih remboursement ola la,remboursement_mutuelle,arabizi
ch3ri kayti7 lia bzaf had lyamat,description_symptome,arabizi
عندي مشكل في النعاس مكيجينيش,description_symptome,arabe
3ndi l7ri9 f lkdam d rjlia sba7,description_symptome,arabizi
wach nkhlet had l'antibiotique m3a l7lib,demande_posologie,arabizi
snani kay3tiwni sda3 b lile,description_symptome,arabizi
khasni ndwez 3la rasi,demande_consultation,arabizi
sayed skhef lina hna,demande_urgence,arabizi
khasni nchouf kine,demande_consultation,arabizi
واش كاين داك الساشي ديال حريق البولة,demande_medicament,arabe
واش نستعمل الرابوز د الضيقة فاش تجيني الازمة ولا ديما,demande_posologie,arabe
n3as tar 3lia w mabghach yjini,description_symptome,arabizi
واش الطبيب كيقبل الحالات المستعجلة بلا موعد,demande_consultation,arabe
بشحال كيبيعو الجبيرة د اليد في البارافرمسي,demande_prix,arabe
chhal khasso ikhls f dwa lma3da hit ma3ndoch mutuelle,demande_prix,arabizi
بشحال كيتباع هاد المكمل الغدائي,demande_prix,arabe
wach momkin nbadal lwa9t dial rdv,demande_consultation,arabizi
chhal taman d les lentilles de contact,demande_prix,arabizi
بغيت ندوز كونترول واش ناخد موعد جديد,demande_consultation,arabe
wach kayn t3wid 3la seance d lkine m3a cnss,remboursement_mutuelle,arabizi
lwer9a d tbib d3t lia bghit copie bach ndf3ha cnss,remboursement_mutuelle,arabizi
كيفاش نرش هاد الرشاشة في نيفي,demande_posologie,arabe
khasni rdv urgent 3afak,demande_consultation,arabizi
عطيني تيكي د لاكيس فيه سميتي على قبل لاسينسيس,remboursement_mutuelle,arabe
خصني الكاشي ديال الفرمسيان في وريقات د لاميتيال,remboursement_mutuelle,arabe
wach kayna chi tahiya dial taman l s7ab ramid,remboursement_mutuelle,arabizi
wach ymknek twrini kifach nkhdem had lrabouz d diqa,demande_posologie,arabizi
khasni rdv 3nd cardio,demande_consultation,arabizi
chhal wsel taman dial l'insuline lyoum,demande_prix,arabizi
سربيو جيبو الاسعاف,demande_urgence,arabe
واش نبدا لانتيبيوتيك دابا ولا نتسنى تال غدا,demande_posologie,arabe
شحال ثمن د العدسات اللاصقة,demande_prix,arabe
khasni dwa dial di9a,demande_medicament,arabizi
chhal taman d lkors d l'antibiotique kaml,demande_prix,arabizi
bghit ndwez 3nd tbib dial lmsran,demande_consultation,arabizi
3tini chi 9tra dial lwednin,demande_medicament,arabizi
khasni maw3id m3a genicologue,demande_consultation,arabizi
sdri mzyer 3lia w matan9derch ntfes,description_symptome,arabizi
tjm3 lia lblghm f sdri,description_symptome,arabizi
سارعو جيبو الاسعاف وعتقو السيد,demande_urgence,arabe
شكون طبيب الاعصاب لي مزيان فهاد السبيطار,demande_consultation,arabe
صدري مزير عليا وكنتنهج,description_symptome,arabe
wach had lfanid d lma3da nakhdo nhar kml wla gha f l3chiya,demande_posologie,arabizi
bghit nchouf chirurgien,demande_consultation,arabizi
t3etlat 3lia l3ada chahriya hadi chhar,description_symptome,arabizi
